id,source,title,organization,url,description,publication_date,closing_date,fit_score,reasoning,matched_services
149,merx,"227864 - Regional Economic Development Plan Update","Regional District of Bulkley-Nechako",https://www.merx.com/public/supplier/interception/view-notice/443968594878?origin=0,"The Regional District of Bulkley-Nechako (the Regional District) is seeking proposals from qualified consulting firms to undertake the development of a comprehensive Economic Development Strategy to guide sustainable economic growth across the region from 2026 to 2030. This Strategy will provide a clear, actionable roadmap to strengthen the regional economy, enhance competitiveness, and support resilient communities. Building on previous planning work, the Strategy will reflect current economic conditions, emerging opportunities, and the unique strengths of the region, including its natural resources, strategic location, and diverse communities. The Strategy will be developed through a collaborative and inclusive process, engaging municipalities, electoral areas, First Nations, businesses, industry groups, and residents. It will identify priority sectors, address workforce and infrastructure challenges, and outline practical actions to support business development, investment attraction, and community vitality. The final document will include measurable outcomes and an implementation framework to ensure the Strategy is both practical and effective in supporting long-term economic prosperity. The Regional District intends this project to be delivered through a collaborative partnership between the Consultant and staff. Staff will play an active and hands-on role throughout the project, including contributing to research, coordinating logistics, supporting data collection, and co-developing engagement activities and strategy content. Proponents should structure their proposed approach to reflect a highly collaborative working relationship, with regular working sessions and shared responsibilities between the Consultant and staff. The Regional District is posting this Request for Proposal (RFP) concurrently with an RFP for the RDBN Tourism Strategy. The Regional District encourages proponents to submit proposals to complete the Economic Development Plan Update and the Regional Tourism Strategy simultaneously in a manner that maximizes opportunities for project efficiency and cost savings. See more",2026-04-14,2026-05-28,2,"Fit assessed as Medium under Guideline #2 because the opportunity is a broad, strategic economic development plan involving First Nations engagement and community collaboration, which aligns with ICE's focus on comprehensive community planning and Indigenous participation, though it is not a direct match to a specific core service.","[""Comprehensive Community Planning"", ""Indigenous Participation Plans""]"
455,bidsandtenders,"Request for Proposal for Facilities and Strategic Plan (County of Brant Public Library)","County of Brant",https://brant.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/23b133a9-e005-4c02-a427-025ad0d15d84,"The County of Brant Public Library is issuing this Request for Proposal for Consultants for professional services to undertake the development of a Facilities Plan and a Strategic Plan as described in the document.",2026-04-21,2026-05-15,2,"Fit assessed as Medium under Guideline #2 because the opportunity involves a broad, strategic plan with potential community impact, aligning with ICE's expertise in Comprehensive Community Planning despite no explicit Indigenous engagement keywords.","[""Comprehensive Community Planning (CCPs)""]"
457,bidsandtenders,"Consulting Services for Acton Downtown/Major Transit Station Area Secondary Plan","Town of Halton Hills",https://haltonhills.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/fe2a6042-f6e9-4815-a560-2a48c24749e7,"The Town of Halton Hills is seeking an experienced and qualified consultant team to prepare the Acton Downtown/Major Transit Station Area Secondary Plan, which will formulate recommendations for a Preferred Land Use Plan and provide direction regarding tools such as a proposed policy framework to manage potential growth in the area. With the current Provincial direction for municipalities to build more homes faster, it is imperative that the Town evaluates opportunities for potential growth within the Acton Downtown and Major Transit Station Area with a focus on mature neighbourhood character protection and enhancement, while providing a variety of housing choices and amenities to residents in the area. All Proponents shall have a Bidding System vendor account and be registered as a plan taker at https://haltonhills.bidsandtenders.ca for this RFP, which will enable the Proponent to download the RFP, to receive addenda/addendum email notifications, download addenda and to submit their Proposal electronically through the Bidding System.",2026-04-20,2026-05-15,2,"Fit assessed as Medium under Guideline #2 due to the opportunity being a broad, strategic land use plan with high community impact, which aligns with ICE's expertise in Land Use Planning and Comprehensive Community Planning, despite no explicit Indigenous engagement keywords.","[""Land Use Planning"", ""Comprehensive Community Planning""]"
650,merx,"BNS-2627-0017 - RFP for Former Chignecto and Maccan Mine Site Phase I/II","Build Nova Scotia",https://www.merx.com/public/supplier/interception/view-notice/443981033265?origin=0,"This Request for Proposals (the “RFP”) is an invitation by Build Nova Scotia (“BNS”) to prospective proponents to submit proposals for BNS-2627-0017 Former Chignecto and Maccan Mine Site Phase I/II ESA. BNS is seeking the services of a consultant with experienced and qualified site professionals, senior environmental experts, and field personnel to conduct environmental investigations of the former Chignecto and Maccan coal mines, in order to provide Phase I/II ESA reports and a Class D remediation estimate for the Crown Land Property. See more",2026-04-22,2026-05-08,2,"Fit assessed as Medium under Guideline #1B because the opportunity involves Environmental & Socio-Economic Impact Assessments, a core service with a naturally high community and land impact, although no explicit Indigenous engagement keywords were found.","[""Environmental & Socio-Economic Impact Assessments""]"
656,merx,"Village of Boyle - Athabasca County Intermunicipal Development Plan and Intermunicipal Collaboration Framework Review and Update Village of Boyle Alberta","Village of Boyle",https://www.merx.com/public/supplier/interception/view-notice/443980845336?origin=0,"The Village of Boyle & Athabasca County as partnering municipalities, require a consultant or consortium of consultants in the land use planning and engineering fields to submit a proposal to primarily develop an IDP The optional secondary objective of this Request for Proposal is for the proponent to update the current ICF to meet all current legislative requirements. See more",2026-04-22,2026-05-22,2,"Fit assessed as Medium under Guideline #1B because the opportunity involves land use planning, a core service of ICE with inherent community and land impact, although no explicit Indigenous or engagement keywords were found.","[""Land Use Planning""]"
680,merx,"AB-2026-03111 - Public Engagement and Planning Services for the Chestermere-Calgary Intermunicipal Development Plan","City of Chestermere",https://www.merx.com/public/supplier/interception/view-notice/443979315263?origin=0,"The City of Chestermere and the City of Calgary are jointly updating the Chestermere–Calgary Intermunicipal Development Plan to address growth pressures, regional priorities, and Ministerial Order 025/25, expanding its scope beyond the existing boundary focus. The project will be supported by two separate consultant roles, an Engagement Consultant focused solely on public and stakeholder engagement, and a Planning Advisor providing as-needed technical planning and policy advice, with final decision making retained by the municipalities under established intermunicipal governance. See more",2026-04-21,2026-05-20,2,"Fit assessed as Medium under Guideline #2 because the opportunity involves a broad, strategic intermunicipal development plan with high community impact and public engagement, which aligns with ICE's expertise in engagement and planning, despite no explicit Indigenous focus mentioned.","[""Indigenous Facilitation & Multistakeholder Engagement"", ""Comprehensive Community Planning""]"
709,merx,"Community Improvement Plan (CIP) Consulting Services The Corporation of the Township of Pickle Lake Canada 5 day(s) left","The Corporation of the Township of Pickle Lake",https://www.merx.com/public/supplier/interception/view-notice/443977421994?origin=0,"The Township of Pickle Lake invites proposals from qualified planning and consulting firms to prepare a Community Improvement Plan (CIP) in accordance with Section 28 of the Planning Act. The CIP will focus on enhancing the local economy and tourism while supporting business development, housing growth, and strategic investment. Pickle Lake is a vibrant northern community with a rich history, strong sense of place, and exceptional natural surroundings, serving as a regional hub for surrounding First Nations communities, resource industries, tourism, and northern services. The proposed CIP is intended to provide incentives for business development and expansion, encourage complementary enterprises, strengthen tourism opportunities, and leverage partnerships with funding agencies and other levels of government. The Plan will complement existing businesses, align with municipal and provincial priorities, and provide practical tools to drive sustainable economic development and community revitalization. See more",2026-04-20,2026-04-30,2,"Fit assessed as Medium under Guideline #2 because the opportunity is a broad, strategic community improvement plan with high community impact and involves a regional hub serving First Nations communities, indicating potential for Indigenous engagement even though it is not explicitly stated.","[""Comprehensive Community Planning""]"
855,canadabuys,"Village of Boyle - Request for Proposal - Village of Boyle - Athabasca County Intermunicipal Development Plan and Intermunicipal Collaboration Framework Review and Update","Village of Boyle",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/ab-2026-03127,"The Village of Boyle & Athabasca County as partnering municipalities, require a consultant or consortium of consultants in the land use planning and engineering fields to submit a proposal to primarily develop an IDP, which will meet the objectives outlined in this Request for Proposal and current legislation. The optional secondary objective of this Request for Proposal is for the proponent to update the current ICF to meet all current legislative requirements.",2026-04-21,2026-05-22,2,"Fit assessed as Medium under Guideline #2 because the project involves a broad, strategic land use planning initiative with potential for Indigenous community engagement, although it is not explicitly Indigenous-centered or a direct match to ICE's core services.","[""Land Use Planning""]"
78,merx,"S5884598 - NPP – S5884598 - THS SA – One (1) Special Advisor. Temporary Help Services against the Supply Arrangement for the National Capital Region.","Department of National Defence (DND)",https://www.merx.com/public/supplier/interception/view-notice/22785002050?origin=0,"Temporary Help Services Requirement? This requirement is for: Department of National Defense (DND)?? This requirement is open only to those supply arrangement holders under EN578-172870 who qualified under the following streams and categories: Stream 13.9- Special Advisor The following SA Holders have been invited to submit a proposal: ? Akkodis Canada Inc. Deloitte Inc. Elevated Thinking Inc. ForgeSight Technologies Inc. Intelliscient Inc NATTIQ INC. OLAV CONSULTING CORP., MOSHWA ABORIGINAL INFORMATION TECHNOLOGY CORPORATION, IN JOINT VENTURE Ombre Consulting Services Incorporated RHEA INC. T.I.7 Inc. Versatil BPI Inc. Description of the Requirement:? Department of National Defense (DND) has a requirement for Temporary Help Services and has issued a Request for Proposal to suppliers generated from CPSS who are qualified under the streams and categories listed above.? Level of Security Requirement:? Resource Minimum Security Level Required is: DOS Reliability See more",2026-04-17,2026-05-01,1,"Fit assessed as Low under Guideline #1B because the opportunity involves project management/temporary help services, which is a core service offered by ICE, but there is no explicit Indigenous or engagement focus in the description.","[""Project Management & Technical Support""]"
194,merx,"CVRD-26-012 - RFP - Asset Management Business Analyst and Project Manager","Comox Valley Regional District",https://www.merx.com/public/supplier/interception/view-notice/443963486369?origin=0,"The Comox Valley Regional District (CVRD) is seeking to procure the services of a qualified consultant to provide integrated Business Analysis and Project Management services in support of the implementation of the Cityworks computerized maintenance management system (CMMS) across multiple departments. See more",2026-04-10,2026-05-07,1,"Fit assessed as Low under Guideline #1B because the opportunity involves Business Advisory and Project Management services, which are core services offered by ICE, but the description lacks any Indigenous or community engagement context.","[""Business Advisory Services"", ""Project Management & Technical Support""]"
7,canadabuys,"NPP – S5884598 - THS SA – One (1) Special Advisor. Temporary Help Services against the Supply Arrangement for the National Capital Region.","Department of National Defence (DND)",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-789-42896011,"Temporary Help Services Requirement​ This requirement is for: Department of National Defense (DND)​​ This requirement is open only to those supply arrangement holders under EN578-172870 who qualified under the following streams and categories: Stream 13.9- Special Advisor The following SA Holders have been invited to submit a proposal: ​ Akkodis Canada Inc. Deloitte Inc. Elevated Thinking Inc. ForgeSight Technologies Inc. Intelliscient Inc NATTIQ INC. OLAV CONSULTING CORP., MOSHWA ABORIGINAL INFORMATION TECHNOLOGY CORPORATION, IN JOINT VENTURE Ombre Consulting Services Incorporated RHEA INC. T.I.7 Inc. Versatil BPI Inc. Description of the Requirement:​ Department of National Defense (DND) has a requirement for Temporary Help Services and has issued a Request for Proposal to suppliers generated from CPSS who are qualified under the streams and categories listed above.​ Level of Security Requirement:​ Resource Minimum Security Level Required is: DOS Reliability",2026-04-17,2026-05-01,1,"Fit assessed as Low under Guideline #1B because the opportunity involves project management/temporary help services, which is a core service of ICE, but there is no explicit Indigenous or engagement focus in the description.","[""Project Management & Technical Support""]"
19,canadabuys,"One (1) Senior Business Consultant (Bilingual) & One (1) Intermediate Business Process Consultant (English essential)","Department of National Defence (DND)",https://canadabuys.canada.ca/en/tender-opportunities/tender-notice/cb-81-1928451,"Independent assessment of existing organizational business planning processes, tools and human resource structures to enable the transition to Integrated Business Planning. As an optional scope of work, the contractor will provide supplemental support to MILPERSCOM as it continues to transition to Integrated Business Planning in follow-on cycles. Amended to extend solicitation closing date on for May 1st 2026 at 2PM ET",2026-04-10,2026-05-01,1,"Fit assessed as Low under Guideline #1B because the opportunity involves business advisory and process consulting services, which align with ICE's Business Advisory Services, but lacks explicit Indigenous or community engagement elements.","[""Business Advisory Services""]"
311,bidsandtenders,"RFPQ-Project Manager Services - Standing Opportunity","Vancouver Island Health Authority",https://islandhealthfdc.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/ca1518ba-7246-4e79-940e-b8fa354dfbca,"The purpose e of this Request for Pre-Qualification is to invite interested parties to submit responses indicating their interests in, and qualifications for, becoming pre-qualified to participate in future procurement opportunities for Project Management services for capital construction projects at Island Health. This opportunity is open to both new firms as well as firms that have experience with Island Health projects.",2023-10-19,2026-10-30,1,"Fit assessed as Low under Guideline #1B because the opportunity is for Project Management services, which is a core service offered by ICE, but the description lacks any Indigenous or community engagement context or high-value Indigenous triggers.","[""Project Management & Technical Support""]"
668,merx,"FAcT TBIPS – Training System Implementation Support Department of National Defence (DND) Canada 18 day(s) left","Department of National Defence (DND)",https://www.merx.com/public/supplier/interception/view-notice/22785002314?origin=0,"NOTICE OF PROPOSED PROCUREMENT (NPP) for TASK BASED INFORMATICS PROFESSIONAL SERVICES (TBIPS) This requirement is for: National Defence This requirement is open only to those TBIPS Supply Arrangement Holders under EN578-170432 who qualified under Tier 1, under the National Capital Region, level of expertise and for the following category(ies): 1. B.3 Business Consultant – Senior 2. B.5 Business Process Re-engineering Consultant – Senior 3. C.1 Strategic Information Technology Security Planning and Protection Consultant – Senior 4. C.3 Information Technology Security TRA and C&A Analyst – Intermediate The requirement is intended to result in the award of one (1) contract. The following SA Holders have been invited to submit a proposal: 1. ADGA Group Consultants Inc. 2. Agile Biztech 3. Altruistic Informatics Consulting Inc. 4. BRYCA Solutions Inc., Server Cloud Canada Inc., 2657319 Canada Inc. in Joint Venture 5. C3SA Cybernetic Security Audit Inc. 6. CGI Information Systems and Management Consultants Inc. 7. Experis Canada Inc. 8. Green PI Inc. 9. iFathom Corporation 10. Maverin Business Services Inc. 11. The Source Staffing Solutions Inc. 12. T.E.S Contract Services Inc. 13. The Halifaz Computer Consulting Group Inc. 14. The Source Staffing Solutions Inc. 15. Thinking Big Information Technology Inc. Description of the Requirement: The Future Aircrew Training (FAcT) Program has issued a Contract to SkyAlyne for the operation of pilot training programs in Moose Jaw, Southport, and Winnipeg. DND has a requirement for a Task Based Informatics Professional Services (TBIPS) Contractor to provide the services of a Senior Business Process Re-Engineering Consultant, a Senior Business Consultant, a Senior Strategic Information Technology Security Planning and Protection Consultant and an Intermediate Information Technology Security TRA and C&A Analyst. SkyAlyne has started the implementation of the FAcT training system. The TBIPS Contractor will support the training system implementation by acting as a liaison between the end-client (DND), the FAcT team, key stakeholders and SkyAlyne. As part of that contract, SkyAlyne is the System Implementor (SI) and during the Pre-Service Delivery phase, has started the Implementation of the FAcT Training System. To support the Implementation work, a TBIPS contract is required to provide the DND with contracted IM/IT Subject Matter Expert (SME) professional services resources to act as liaison between the end-client, the FAcT Team, Key Stakeholders, and the SI. Security: There are security requirements associated with this requirement. Please note that SA Holders do not need to have the required clearance to submit a bid. For additional information, consult Part 6 - Security, Financial and Other Requirements, and Part 7 – Resulting Contract Clauses. For more information on personnel and organization security screening or security clauses, Bidders should refer to the Contract Security Program of Public Works and Government Services Canada (http://www.tpsgc-pwgsc.gc.ca/esc-src/introduction-eng.html) website. Level of Security Requirement: Security Requirement: SRCL # W847A-6000670902 Minimum Corporate Security Required: Secret Minimum Resource Security Required: Secret Document Safeguarding Security Level Required: Not Applicable Estimated Level of Effort: The estimated level of effort of the contract will be for 240 days per year per resource Contracting Authority Information: File Number: W847A-6000670902 Contracting Authority: Ulrich Mercier Kamga Phone Number: 343.576.3558 E-Mail: ulrichmercier.kamga@forces.gc.ca Procurement Authority: Andrew McMillan Phone Number: 343.574.1876 Email Address: andrew.mcmillan@forces.gc.ca Inquiries: Inquiries regarding this Request for Proposal (RFP) requirement must be submitted to the Contracting Authority named above. RFP documents will be e-mailed directly by the Contracting Authority to the Qualified Supply Arrangement Holders who are being invited to bid on this requirement. BIDDERS ARE ADVISED THAT “CANADABUYS.CANADA.CA” ” IS NOT RESPONSIBLE FOR THE DISTRIBUTION OF SOLICITATION DOCUMENTS. The Crown retains the right to negotiate with any supplier on any procurement. Documents may be submitted in either official language. Debriefings: Bidders may request a debriefing on the results of the bid solicitation process. Bidders should make the request to the Contracting Authority within 15 working days from receipt of the results of the bid solicitation process. The debriefing may be in writing, by telephone or in person. NOTE: Task-Based Informatics Professional Services (TBIPS) Method of Supply is refreshed on a quarterly basis. If you wish to find out how you can be a “Qualified SA Holder”, please contact parcnmdai.apncrimos@tpsgc-pwgsc.gc.ca See more",2026-04-22,2026-05-13,1,"Fit assessed as Low under Guideline #1B because the opportunity involves project management and business consulting services related to IT system implementation for the Department of National Defence, which aligns with ICE's Project Management & Technical Support and Business Advisory Services but lacks explicit Indigenous or community engagement elements.","[""Project Management & Technical Support"", ""Business Advisory Services""]"
